row_id,target,branch_id,shape,status,family,category,raw_category,assigned_round,first_validated_date
1,bloaty,7,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
2,bloaty,10,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
3,bloaty,11,i2s_vp__W_L,inconclusive,VP-P,inconclusive,-,-,-
4,bloaty,13,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-13
5,bloaty,34,i2s_vp_WL_L,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_constant_gate,0,2026-06-14
6,bloaty,57,i2s_vp_WW_L,validated,VP-P,vp_gradient_value_distance_closure,parallel_hamming_gradient_value_closure,2,2026-06-18
7,bloaty,59,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
8,bloaty,63,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
9,bloaty,77,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
10,bloaty,81,i2s_vp_W_WL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
11,bloaty,87,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_structural_assembly_depth,2,2026-06-18
12,bloaty,90,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_structural_assembly_depth,2,2026-06-18
13,bloaty,133,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-13
14,bloaty,141,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
15,bloaty,143,i2s_vp__LWL,validated,I2S-P,i2s_numeric_tag_substitution,i2s_exact_literal_gate,0,2026-06-13
16,bloaty,145,i2s_vp_W_WL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_substitution,0,2026-06-14
17,bloaty,147,i2s_vp__W_L,validated,VP-P,vp_gradient_value_distance_closure,vp_basin_escape,0,2026-06-13
18,bloaty,150,i2s_vp__W_L,inconclusive,VP-P,inconclusive,-,-,-
19,bloaty,301,i2s_vp__WLW,inconclusive,I2S-A,inconclusive,-,-,-
20,curl,19,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_operand_value_precision_at_equal_reach_gate,3,2026-06-18
21,curl,21,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_planted_anchor_literal_presence_scaffold_gate,1,2026-06-18
22,curl,22,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
23,curl,23,i2s_vp_WLWL,inconclusive,I2S-P,inconclusive,-,-,-
24,curl,37,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
25,curl,42,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
26,curl,58,i2s_vp_WLWL,validated,I2S-P,i2s_string_literal_substitution,i2s_fixed_offset_literal_value_gate,0,2026-06-12
